artist_name,song_name,genres
snoop dogg,lay low,Hip Hop; Rap; Black Music
eric clapton,christmas tears,Rock; Blues
eric clapton,little queen of spades,Rock; Blues
eric clapton,after midnight,Rock; Blues
eric clapton,alabama woman blues,Rock; Blues
eric clapton,autumn leaves,Rock; Blues
eric clapton,back home,Rock; Blues
eric clapton,bad boy,Rock; Blues
eric clapton,badge,Rock; Blues
eric clapton,believe in life,Rock; Blues
eric clapton,bell bottom blues,Rock; Blues
eric clapton,born to lose,Rock; Blues
eric clapton,born under a bad sign,Rock; Blues
eric clapton,broken down,Rock; Blues
eric clapton,call me the breeze,Rock; Blues
eric clapton,catch the blues,Rock; Blues
eric clapton,come back baby,Rock; Blues
bob dylan,like a rolling stone,Folk; Rock; Country
bob dylan,hurricane,Folk; Rock; Country
bob dylan,lay lady lay,Folk; Rock; Country
bob dylan,masters of war,Folk; Rock; Country
bob dylan,forever young,Folk; Rock; Country
bob dylan,all along the watchtower,Folk; Rock; Country
bob dylan,jokerman,Folk; Rock; Country
bob dylan,make you feel my love,Folk; Rock; Country
bob dylan,mother of muses,Folk; Rock; Country
bob dylan,beyond the horizon,Folk; Rock; Country
bob dylan,black rider,Folk; Rock; Country
bob dylan,born in time,Folk; Rock; Country
bob dylan,buckets of rain,Folk; Rock; Country
bob dylan,bye and bye,Folk; Rock; Country
bob dylan,cocaine blues,Folk; Rock; Country
bob dylan,cold irons bound,Folk; Rock; Country
bob dylan,crossing the rubicon,Folk; Rock; Country
bob dylan,diamond joe,Folk; Rock; Country
bob dylan,dignity,Folk; Rock; Country
bob dylan,dirt road blues,Folk; Rock; Country
bob dylan,duquesne whistle,Folk; Rock; Country
bob dylan,early roman kings,Folk; Rock; Country
bob dylan,everything is broken,Folk; Rock; Country
bob dylan,false prophet,Folk; Rock; Country
bob dylan,forgetful heart,Folk; Rock; Country
bob dylan,full moon and empty arms,Folk; Rock; Country
bob dylan,girl from the north country,Folk; Rock; Country
bob dylan,god knows,Folk; Rock; Country
bob dylan,gonna change my way of thinking,Folk; Rock; Country
bob dylan,goodbye jimmy reed,Folk; Rock; Country
the black keys,little black submarines,Rock Alternativo; Indie; Rock
the black keys,lonely boy,Rock Alternativo; Indie; Rock
the black keys,poor boy a long way from home,Rock Alternativo; Indie; Rock
the black keys,tighten up,Rock Alternativo; Indie; Rock
the black keys,your touch,Rock Alternativo; Indie; Rock
the black keys,weight of love,Rock Alternativo; Indie; Rock
the black keys,come on and go with me,Rock Alternativo; Indie; Rock
the black keys,next girl,Rock Alternativo; Indie; Rock
the black keys,run right back,Rock Alternativo; Indie; Rock
the black keys,walk with me,Rock Alternativo; Indie; Rock
the black keys,dead and gone,Rock Alternativo; Indie; Rock
the black keys,sister,Rock Alternativo; Indie; Rock
the black keys,never gonna give you up,Rock Alternativo; Indie; Rock
the black keys,gold on the ceiling,Rock Alternativo; Indie; Rock
the black keys,heavy soul,Rock Alternativo; Indie; Rock
the black keys,coal black mattie,Rock Alternativo; Indie; Rock
the black keys,louise,Rock Alternativo; Indie; Rock
the black keys,bullet in the brain,Rock Alternativo; Indie; Rock
the black keys,keep me,Rock Alternativo; Indie; Rock
the black keys,10 lovers,Rock Alternativo; Indie; Rock
the black keys,act nice and gentle,Rock Alternativo; Indie; Rock
the black keys,aeroplane blues,Rock Alternativo; Indie; Rock
the black keys,all hands against his own,Rock Alternativo; Indie; Rock
the black keys,all you ever wanted,Rock Alternativo; Indie; Rock
the black keys,black door,Rock Alternativo; Indie; Rock
the black keys,breaking down,Rock Alternativo; Indie; Rock
the black keys,brooklyn bound,Rock Alternativo; Indie; Rock
the black keys,busted,Rock Alternativo; Indie; Rock
the black keys,chop and change,Rock Alternativo; Indie; Rock
the black keys,countdown,Rock Alternativo; Indie; Rock
epica,rivers,Gótico; Heavy Metal; Rock
epica,unleashed,Gótico; Heavy Metal; Rock
epica,cry for the moon,Gótico; Heavy Metal; Rock
epica,our destiny,Gótico; Heavy Metal; Rock
epica,the phantom agony,Gótico; Heavy Metal; Rock
epica,martyr of the free word,Gótico; Heavy Metal; Rock
epica,the skeleton key,Gótico; Heavy Metal; Rock
epica,code of life,Gótico; Heavy Metal; Rock
epica,illusive consensus,Gótico; Heavy Metal; Rock
epica,the divine conspiracy,Gótico; Heavy Metal; Rock
epica,consign to oblivion,Gótico; Heavy Metal; Rock
epica,twin flames,Gótico; Heavy Metal; Rock
epica,unchain utopia,Gótico; Heavy Metal; Rock
epica,living a lie,Gótico; Heavy Metal; Rock
epica,the last crusade,Gótico; Heavy Metal; Rock
epica,run for a fall,Gótico; Heavy Metal; Rock
epica,seal of solomon,Gótico; Heavy Metal; Rock
epica,a phantasmic parade,Gótico; Heavy Metal; Rock
epica,architect of light,Gótico; Heavy Metal; Rock
epica,avalanche,Gótico; Heavy Metal; Rock
epica,beyond belief,Gótico; Heavy Metal; Rock
epica,beyond the matrix,Gótico; Heavy Metal; Rock
epica,blank infinity,Gótico; Heavy Metal; Rock
epica,burn to a cinder,Gótico; Heavy Metal; Rock
epica,canvas of life,Gótico; Heavy Metal; Rock
epica,chasing the dragon,Gótico; Heavy Metal; Rock
epica,chemical insomnia,Gótico; Heavy Metal; Rock
epica,crimson bow and arrow,Gótico; Heavy Metal; Rock
epica,crystal mountain,Gótico; Heavy Metal; Rock
epica,dance of fate,Gótico; Heavy Metal; Rock
taylor swift,lover,Pop; Romântico; Pop/Rock
taylor swift,blank space,Pop; Romântico; Pop/Rock
taylor swift,cardigan,Pop; Romântico; Pop/Rock
taylor swift,shake it off,Pop; Romântico; Pop/Rock
taylor swift,all too well,Pop; Romântico; Pop/Rock
taylor swift,the 1,Pop; Romântico; Pop/Rock
taylor swift,wildest dreams,Pop; Romântico; Pop/Rock
taylor swift,love story,Pop; Romântico; Pop/Rock
taylor swift,red,Pop; Romântico; Pop/Rock
taylor swift,august,Pop; Romântico; Pop/Rock
taylor swift,this is me trying,Pop; Romântico; Pop/Rock
taylor swift,paper rings,Pop; Romântico; Pop/Rock
taylor swift,mirrorball,Pop; Romântico; Pop/Rock
taylor swift,my tears ricochet,Pop; Romântico; Pop/Rock
taylor swift,the last great american dynasty,Pop; Romântico; Pop/Rock
taylor swift,style,Pop; Romântico; Pop/Rock
taylor swift,look what you made me do,Pop; Romântico; Pop/Rock
taylor swift,champagne problems,Pop; Romântico; Pop/Rock
taylor swift,the story of us,Pop; Romântico; Pop/Rock
taylor swift,22,Pop; Romântico; Pop/Rock
taylor swift,a perfectly good heart,Pop; Romântico; Pop/Rock
taylor swift,a place in this world,Pop; Romântico; Pop/Rock
taylor swift,afterglow,Pop; Romântico; Pop/Rock
taylor swift,all you had to do was stay,Pop; Romântico; Pop/Rock
taylor swift,back to december,Pop; Romântico; Pop/Rock
taylor swift,bad blood,Pop; Romântico; Pop/Rock
taylor swift,begin again,Pop; Romântico; Pop/Rock
taylor swift,bette davis eyes,Pop; Romântico; Pop/Rock
taylor swift,better than revenge,Pop; Romântico; Pop/Rock
taylor swift,betty,Pop; Romântico; Pop/Rock
johnny cash,you are my sunshine,Folk; Country; Rock
johnny cash,hurt,Folk; Country; Rock
johnny cash,ghost riders in the sky,Folk; Country; Rock
johnny cash,folsom prison blues,Folk; Country; Rock
johnny cash,jackson,Folk; Country; Rock
johnny cash,one,Folk; Country; Rock
johnny cash,solitary man,Folk; Country; Rock
johnny cash,father and son,Folk; Country; Rock
johnny cash,heart of gold,Folk; Country; Rock
johnny cash,danny boy,Folk; Country; Rock
johnny cash,i walk the line,Folk; Country; Rock
johnny cash,sam hall,Folk; Country; Rock
johnny cash,in my life,Folk; Country; Rock
johnny cash,ring of fire,Folk; Country; Rock
johnny cash,a boy named sue,Folk; Country; Rock
johnny cash,a legend in my time,Folk; Country; Rock
johnny cash,all over again,Folk; Country; Rock
johnny cash,aloha oe,Folk; Country; Rock
johnny cash,ballad of a teenage queen,Folk; Country; Rock
johnny cash,banks of the ohio,Folk; Country; Rock
johnny cash,before my time,Folk; Country; Rock
johnny cash,big river,Folk; Country; Rock
johnny cash,bird on a wire,Folk; Country; Rock
johnny cash,cindy,Folk; Country; Rock
johnny cash,cocaine blues,Folk; Country; Rock
johnny cash,cool water,Folk; Country; Rock
johnny cash,country trash,Folk; Country; Rock
johnny cash,daddy sang bass,Folk; Country; Rock
johnny cash,desperado,Folk; Country; Rock
johnny cash,field of diamonds,Folk; Country; Rock
alan jackson,chattahoochee,Country
alan jackson,little bitty,Country
alan jackson,remember when,Country
alan jackson,good time,Country
alan jackson,what a friend we have in jesus,Country
alan jackson,back,Country
alan jackson,country boy,Country
alan jackson,the sounds,Country
alan jackson,blessed assurance,Country
alan jackson,i love to tell the story,Country
alan jackson,the older i get,Country
alan jackson,right on the money,Country
alan jackson,hard hat and a hammer,Country
alan jackson,are you washed in the blood,Country
alan jackson,1976,Country
alan jackson,a little bluer than that,Country
alan jackson,a love like that,Country
alan jackson,a million ways to die,Country
alan jackson,after 17,Country
alan jackson,away in a manger,Country
alan jackson,between the devil and me,Country
alan jackson,big green eyes,Country
alan jackson,blacktop,Country
alan jackson,blue ridge mountain song,Country
alan jackson,bring on the night,Country
alan jackson,buicks to the moon,Country
alan jackson,dallas,Country
alan jackson,every now and then,Country
alan jackson,everything but the wings,Country
alan jackson,everything i love,Country
willie nelson,always on my mind,Country
willie nelson,on the road again,Country
willie nelson,something you get through,Country
willie nelson,heaven is closed,Country
willie nelson,blue eyes crying in the rain,Country
willie nelson,crazy,Country
willie nelson,big booty,Country
willie nelson,we are the cowboys,Country
willie nelson,why me,Country
willie nelson,a horse called music,Country
willie nelson,across the borderline,Country
willie nelson,all things must pass,Country
willie nelson,always now,Country
willie nelson,amazing grace,Country
willie nelson,angel eyes,Country
willie nelson,angel flying too close to the ground,Country
willie nelson,are you sure,Country
willie nelson,away in a manger,Country
willie nelson,back to earth,Country
willie nelson,basin street blues,Country
willie nelson,be that as it may,Country
willie nelson,be there for you,Country
willie nelson,because of you,Country
willie nelson,blackjack county chain,Country
willie nelson,blue hotel,Country
willie nelson,blue skies,Country
willie nelson,border song,Country
willie nelson,bright lights big city,Country
willie nelson,bubbles in my beer,Country
willie nelson,caldonia,Country
rascal flatts,what hurts the most,Country
rascal flatts,life is a highway,Country
rascal flatts,back to life,Country
rascal flatts,a little home,Country
rascal flatts,all night to get there,Country
rascal flatts,back to us,Country
rascal flatts,backwards,Country
rascal flatts,banjo,Country
rascal flatts,better now,Country
rascal flatts,bless the broken road,Country
rascal flatts,bob that head,Country
rascal flatts,break away,Country
rascal flatts,changed,Country
rascal flatts,close,Country
rascal flatts,come wake me up,Country
rascal flatts,cool thing,Country
rascal flatts,dj tonight,Country
rascal flatts,dry county girl,Country
rascal flatts,ellsworth,Country
rascal flatts,every day,Country
rascal flatts,fast cars and freedom,Country
rascal flatts,feels like today,Country
rascal flatts,forever,Country
rascal flatts,friday,Country
rascal flatts,from time to time,Country
rascal flatts,help me remember,Country
rascal flatts,here,Country
rascal flatts,here comes goodbye,Country
rascal flatts,holes,Country
rascal flatts,hot in here,Country
george strait,amarillo by morning,Country
george strait,you look so good in love,Country
george strait,i can still make cheyenne,Country
george strait,if heartaches were horses,Country
george strait,heartland,Country
george strait,famous last words of a fool,Country
george strait,a better rain,Country
george strait,ace in the hole,Country
george strait,adalida,Country
george strait,arkansas dave,Country
george strait,as far as it goes,Country
george strait,baby blue,Country
george strait,beautiful day for goodbye,Country
george strait,blue clear sky,Country
george strait,blue marlin blues,Country
george strait,brothers of the highway,Country
george strait,by the light of a burning bridge,Country
george strait,carried away,Country
george strait,carrying your love with me,Country
george strait,christmas cookies,Country
george strait,codigo,Country
george strait,come on joe,Country
george strait,cowboys like us,Country
george strait,deck the halls,Country
george strait,designated drinker,Country
george strait,desperately,Country
george strait,does fort worth ever cross your mind,Country
george strait,drinking champagne,Country
george strait,easy as you go,Country
george strait,every little honky tonk bar,Country
kenny chesney,summertime,Country
kenny chesney,get along,Country
kenny chesney,knowing you,Country
kenny chesney,when the sun goes down,Country
kenny chesney,somewhere with you,Country
kenny chesney,happy does,Country
kenny chesney,song for the saints,Country
kenny chesney,live a little,Country
kenny chesney,when i close my eyes,Country
kenny chesney,big star,Country
kenny chesney,a lot of things different,Country
kenny chesney,all i need to know,Country
kenny chesney,all i want for christmas is a real good tan,Country
kenny chesney,all the pretty girls,Country
kenny chesney,always gonna be you,Country
kenny chesney,anything but mine,Country
kenny chesney,back where i come from,Country
kenny chesney,bar at the end of the world,Country
kenny chesney,be as you are,Country
kenny chesney,beautiful world,Country
kenny chesney,because of your love,Country
kenny chesney,beer in mexico,Country
kenny chesney,better as a memory,Country
kenny chesney,boston,Country
kenny chesney,christmas in dixie,Country
kenny chesney,come over,Country
kenny chesney,da ruba girl,Country
kenny chesney,demons,Country
kenny chesney,down the road,Country
kenny chesney,dreams,Country
miranda lambert,bad boy,Country
miranda lambert,to learn her,Country
miranda lambert,white trash,Country
miranda lambert,girls,Country
miranda lambert,only prettier,Country
miranda lambert,holy water,Country
miranda lambert,dark bars,Country
miranda lambert,automatic,Country
miranda lambert,time to get a gun,Country
miranda lambert,it all comes out in the wash,Country
miranda lambert,if i was a cowboy,Country
miranda lambert,love is looking for you,Country
miranda lambert,virginia bluebell,Country
miranda lambert,airstream song,Country
miranda lambert,me and your cigarettes,Country
miranda lambert,safe,Country
miranda lambert,fine tune,Country
miranda lambert,all kinds of kinds,Country
miranda lambert,fastest girl in town,Country
miranda lambert,another sunday in the south,Country
miranda lambert,baggage claim,Country
miranda lambert,bathroom sink,Country
miranda lambert,better in the long run,Country
miranda lambert,bluebird,Country
miranda lambert,bring me down,Country
miranda lambert,covered wagon,Country
miranda lambert,dead flowers,Country
miranda lambert,dear diamond,Country
miranda lambert,dear old sun,Country
miranda lambert,desperation,Country
one direction,what makes you beautiful,Pop/Rock; Pop; Romântico
one direction,18,Pop/Rock; Pop; Romântico
one direction,story of my life,Pop/Rock; Pop; Romântico
one direction,little things,Pop/Rock; Pop; Romântico
one direction,steal my girl,Pop/Rock; Pop; Romântico
one direction,perfect,Pop/Rock; Pop; Romântico
one direction,night changes,Pop/Rock; Pop; Romântico
one direction,drag me down,Pop/Rock; Pop; Romântico
one direction,history,Pop/Rock; Pop; Romântico
one direction,if i could fly,Pop/Rock; Pop; Romântico
one direction,moments,Pop/Rock; Pop; Romântico
one direction,one thing,Pop/Rock; Pop; Romântico
one direction,where do broken hearts go,Pop/Rock; Pop; Romântico
one direction,midnight memories,Pop/Rock; Pop; Romântico
one direction,right now,Pop/Rock; Pop; Romântico
one direction,happily,Pop/Rock; Pop; Romântico
one direction,kiss you,Pop/Rock; Pop; Romântico
one direction,end of the day,Pop/Rock; Pop; Romântico
one direction,ready to run,Pop/Rock; Pop; Romântico
one direction,no control,Pop/Rock; Pop; Romântico
one direction,best song ever,Pop/Rock; Pop; Romântico
one direction,act my age,Pop/Rock; Pop; Romântico
one direction,alive,Pop/Rock; Pop; Romântico
one direction,another world,Pop/Rock; Pop; Romântico
one direction,back for you,Pop/Rock; Pop; Romântico
one direction,better than words,Pop/Rock; Pop; Romântico
one direction,change my mind,Pop/Rock; Pop; Romântico
one direction,change your ticket,Pop/Rock; Pop; Romântico
one direction,clouds,Pop/Rock; Pop; Romântico
one direction,diana,Pop/Rock; Pop; Romântico
björk,stonemilker,Indie; Electronica; Chillout
björk,venus as a boy,Indie; Electronica; Chillout
björk,pagan poetry,Indie; Electronica; Chillout
björk,human behaviour,Indie; Electronica; Chillout
björk,all is full of love,Indie; Electronica; Chillout
björk,big time sensuality,Indie; Electronica; Chillout
björk,crystalline,Indie; Electronica; Chillout
björk,hidden place,Indie; Electronica; Chillout
björk,aurora,Indie; Electronica; Chillout
björk,army of me,Indie; Electronica; Chillout
björk,oceania,Indie; Electronica; Chillout
björk,the modern things,Indie; Electronica; Chillout
björk,crying,Indie; Electronica; Chillout
björk,utopia,Indie; Electronica; Chillout
björk,features creatures,Indie; Electronica; Chillout
björk,triumph of a heart,Indie; Electronica; Chillout
björk,possibly maybe,Indie; Electronica; Chillout
björk,unison,Indie; Electronica; Chillout
björk,5 years,Indie; Electronica; Chillout
björk,aeroplane,Indie; Electronica; Chillout
björk,all neon like,Indie; Electronica; Chillout
björk,an echo a stain,Indie; Electronica; Chillout
björk,ancestors,Indie; Electronica; Chillout
björk,arisen my senses,Indie; Electronica; Chillout
